Animal Name,Type of Animal,Primary Breed,TPD Sector,Latitude & Longitude,count
LUMIPALLO,DOG,GREAT PYRENEESE,4,"(47.225645, -122.445797)",1
FLASH,DOG,MIN PINSCHER,4,"(47.189086, -122.450579)",1
ISIS,CAT,DOMESTIC SH,2,"(47.266128, -122.474305)",1
MINNIE,DOG,SHIH TZU,3,"(47.225056, -122.4906)",1
MAXINE,CAT,DOMESTIC LH,3,"(47.207561, -122.478425)",1
MAD MAX BEAR,DOG,BULLDOG,3,"(47.196653, -122.47472)",1
NO NAME,CAT,DOMESTIC SH,4,"(47.173883, -122.441602)",1
STELLA,DOG,GOLDEN RETR,4,"(47.173883, -122.441602)",1
ARTEMIS,DOG,LABRADOR RETR,4,"(47.217041, -122.445961)",1
T-BONE,DOG,PIT BULL,4,"(47.233621, -122.42222)",1
BUN,CAT,DOMESTIC SH,2,"(47.266083, -122.477235)",1
SIMBA,DOG,TOY FOX TERRIER,2,"(47.251602, -122.480432)",1
RUSSELL,DOG,GOLDEN RETR,2,"(47.269305, -122.512182)",1
LULU,DOG,CHIHUAHUA SH,4,"(47.21189, -122.414788)",1
BABY,CAT,SIAMESE,4,"(47.207828, -122.415107)",1
TUG,DOG,PUG,3,"(47.218058, -122.456599)",1
RED,DOG,AUST SHEPHERD,4,"(47.217288, -122.424712)",1
PAISLEY,DOG,POODLE TOY,2,"(47.267631, -122.48789)",1
SPIKE,DOG,AMERICAN STAFF,4,"(47.235147, -122.417928)",1
WILLOW,CAT,SIAMESE,2,"(47.236746, -122.482833)",1
LEELA,DOG,SHIH TZU,1,"(47.28613, -122.383955)",1
LULU,DOG,CHIHUAHUA SH,3,"(47.196308, -122.477452)",1
NO NAME,CAT,DOMESTIC SH,1,"(47.300121, -122.400047)",1
ZACK,DOG,GERM SHEPHERD,4,"(47.226678, -122.422444)",1
BOSTONBLACKI,CAT,DOMESTIC SH,2,"(47.286008, -122.501641)",1
CHARMINGBILL,CAT,DOMESTIC SH,2,"(47.286008, -122.501641)",1
TIGGER,CAT,DOMESTIC LH,3,"(47.200077, -122.475168)",1
ZEUS,DOG,BOSTON TERRIER,2,"(47.245462, -122.493968)",1
BABY,DOG,FOX TERR WIRE,2,"(47.254132, -122.478588)",1
AURORA,DOG,SIBERIAN HUSKY,4,"(47.186249, -122.446359)",1
RIPTIDE,CAT,DOMESTIC SH,2,"(47.262428, -122.461572)",1
RUFIO,DOG,GERM SHEPHERD,2,"(47.263366, -122.495081)",1
MISTY,DOG,YORKSHIRE TERR,4,"(47.199724, -122.427542)",1
SUZIE,CAT,DOMESTIC SH,2,"(47.286961, -122.519015)",1
MAHLA,DOG,YORKSHIRE TERR,2,"(47.247229, -122.513997)",1
PIPPI LONG S,CAT,DOMESTIC SH,4,"(47.172141, -122.427963)",1
NACHO,DOG,SHIH TZU,3,"(47.226055, -122.453969)",1
VICTOR,DOG,POMERANIAN,3,"(47.226055, -122.453969)",1
GINGER,DOG,DACHSHUND WH,3,"(47.201743, -122.473245)",1
ALLEY,CAT,DOMESTIC SH,3,"(47.21846, -122.478979)",1
GEORGETTE,CAT,DOMESTIC SH,2,"(47.256603, -122.536046)",1
MAGGIE,DOG,MALTESE,2,"(47.284936, -122.498164)",1
CHRISTINA,DOG,PUG,2,"(47.251071, -122.529005)",1
BRITTANY,DOG,PUG,2,"(47.251071, -122.529005)",1
LYDIA,CAT,DOMESTIC SH,2,"(47.276727, -122.499515)",1
MAX,DOG,AUST SHEPHERD,2,"(47.291028, -122.50722)",1
JACK,DOG,BEDLINGTON TERR,2,"(47.291028, -122.50722)",1
SPIRIT,CAT,DOMESTIC SH,2,"(47.291028, -122.50722)",1
MISTY,DOG,POODLE MIN,3,"(47.190938, -122.493812)",1
KAYA,DOG,POMERANIAN,1,"(47.292929, -122.380338)",1
ABBI,DOG,MALTESE,2,"(47.24543, -122.553372)",1
STELLA,DOG,CHIHUAHUA SH,5,"(47.239102, -122.511811)",1
BOOKIE,CAT,DOMESTIC SH,3,"(47.209358, -122.456184)",1
TROOPER,DOG,SCHNAUZER STAND,2,"(47.266622, -122.457144)",1
BOOMER,DOG,CHIHUAHUA SH,4,"(47.216356, -122.425444)",1
PERSEPHONE,DOG,GERM SHEPHERD,4,"(47.221946, -122.438636)",1
WAFFLES,CAT,DOMESTIC SH,2,"(47.251178, -122.514477)",1
BOO BOO,CAT,DOMESTIC SH,1,"(47.237275, -122.475415)",1
BINDI,DOG,POODLE MIN,4,"(47.176314, -122.430735)",1
TRIXIE,CAT,DOMESTIC SH,2,"(47.256603, -122.536046)",1
WHITEY,DOG,BOXER,2,"(47.263177, -122.46542)",1
YOUNGBLOOD,DOG,SHIH TZU,2,"(47.280227, -122.495036)",1
CHEETAH,CAT,DOMESTIC SH,2,"(47.280227, -122.495036)",1
BONZ,DOG,LABRADOR RETR,1,"(47.304928, -122.41592)",1
CHEIF,DOG,GERM SHEPHERD,2,"(47.274989, -122.478671)",1
NIKKI,DOG,POMERANIAN,2,"(47.26517, -122.506969)",1
HALEY JO,DOG,PARSON RUSS TER,2,"(47.266994, -122.51802)",1
BRODY,DOG,BULLMASTIFF,1,"(47.287904, -122.378585)",1
TADASHI,DOG,AUST SHEPHERD,2,"(47.249803, -122.545399)",1
TUXEDO,DOG,CHIHUAHUA SH,4,"(47.21501, -122.452127)",1
ZU ZU PETALS,DOG,CHIHUAHUA SH,4,"(47.21501, -122.452127)",1
SAMMY,DOG,SC WHEAT TERR,2,"(47.294031, -122.523714)",1
SOPHIE,CAT,DOMESTIC SH,2,"(47.294251, -122.523296)",1
SPIKE,DOG,POMERANIAN,4,"(47.172057, -122.42698)",1
NITR,DOG,SHIH TZU,4,"(47.172057, -122.42698)",1
BUTTON,DOG,SHIH TZU,4,"(47.172057, -122.42698)",1
WINFRED,DOG,SHIH TZU,4,"(47.172057, -122.42698)",1
BULLET,DOG,SHIH TZU,4,"(47.172057, -122.42698)",1
TICK,DOG,SHIH TZU,4,"(47.172057, -122.42698)",1
TILLY,DOG,GERM SHEPHERD,4,"(47.202156, -122.448388)",1
BOOTSIE,CAT,DOMESTIC SH,4,"(47.216526, -122.403614)",1
KILLER,CAT,SIAMESE,3,"(47.208534, -122.453964)",1
SABRINA,CAT,DOMESTIC SH,3,"(47.208534, -122.453964)",1
JESSIE JANE,DOG,CAIRN TERRIER,4,"(47.234198, -122.417458)",1
SHEBA,DOG,BLACK/TAN HOUND,3,"(47.211036, -122.456811)",1
LULUBELLE,DOG,DACHSHUND,1,"(47.2518, -122.457966)",1
NENI GIRL,DOG,BOSTON TERRIER,2,"(47.243969, -122.534786)",1
BELLA,CAT,DOMESTIC SH,2,"(47.287746, -122.514263)",1
CELIA,DOG,AMERICAN STAFF,2,"(47.287746, -122.514263)",1
ROXANNE,DOG,AUST CATTLE DOG,2,"(47.287746, -122.514263)",1
SNICKERS,CAT,DOMESTIC SH,2,"(47.287746, -122.514263)",1
BELLA,DOG,CHIHUAHUA SH,1,"(47.287147, -122.36975)",1
DAISY,DOG,CHIHUAHUA SH,2,"(47.247845, -122.489904)",1
COOPER,DOG,DACHSHUND,1,"(47.300218, -122.429162)",1
ABBEY,DOG,LABRADOR RETR,2,"(47.249045, -122.537486)",1
LEO,CAT,DOMESTIC LH,2,"(47.263723, -122.531662)",1
DAISY,DOG,WEIMARANER,2,"(47.268241, -122.467651)",1
PJ,DOG,PARSON RUSS TER,1,"(47.302013, -122.405896)",1
SALLY,DOG,LABRADOR RETR,2,"(47.251823, -122.541668)",1
MISTY,CAT,DOMESTIC SH,1,"(47.290277, -122.40102)",1
SASHA,DOG,GREAT DANE,4,"(47.219421, -122.447804)",1
ROSIE,DOG,MIN PINSCHER,4,"(47.210252, -122.428313)",1
AUGUST,CAT,DOMESTIC SH,2,"(47.256128, -122.471582)",1
MILO,CAT,DOMESTIC SH,2,"(47.276609, -122.493984)",1
ASHES,CAT,DOMESTIC SH,4,"(47.218174, -122.441501)",1
DIESEL,DOG,BULLDOG,4,"(47.218174, -122.441501)",1
FALCON,DOG,CHIHUAHUA SH,4,"(47.214597, -122.431717)",1
LITTLE GIRL,CAT,DOMESTIC SH,3,"(47.19244, -122.468074)",1
WINNIE,CAT,DOMESTIC SH,2,"(47.266788, -122.473086)",1
BO,DOG,LABRADOR RETR,5,"(47.239102, -122.511811)",1
LEALEND,CAT,DOMESTIC SH,4,"(47.200146, -122.42462)",1
MISS PIGGY,CAT,SIAMESE,5,"(47.220999, -122.519931)",1
MICKEY,CAT,SIAMESE,2,"(47.301372, -122.523724)",1
TOBY,CAT,DOMESTIC LH,2,"(47.301372, -122.523724)",1
JACKSON,DOG,SHIH TZU,2,"(47.251193, -122.500487)",1
JUNIOR,CAT,DOMESTIC SH,2,"(47.282028, -122.487693)",1
CHA CHA,DOG,CHIHUAHUA SH,4,"(47.198395, -122.418331)",1
ZOEY,DOG,CHIHUAHUA SH,4,"(47.198395, -122.418331)",1
MANDY BEAR,DOG,SHIH TZU,3,"(47.196653, -122.47472)",1
BUDDY,DOG,PUG,2,"(47.245462, -122.493968)",1
BOBBY,DOG,CHIHUAHUA SH,4,"(47.209455, -122.43227)",1
TOBY,DOG,CHIHUAHUA SH,4,"(47.209455, -122.43227)",1
RIDGE,DOG,LABRADOR RETR,2,"(47.272088, -122.53338)",1
ROCKY,DOG,LABRADOR RETR,4,"(47.212981, -122.437922)",1
QUINCY,DOG,POODLE STND,2,"(47.265044, -122.523952)",1
KENYA,CAT,DOMESTIC SH,2,"(47.286961, -122.519015)",1
BRUNO,DOG,LABRADOR RETR,3,"(47.202509, -122.476834)",1
KLAUS,DOG,PEKINGESE,3,"(47.188077, -122.470201)",1
BEE,DOG,GERM SHEPHERD,3,"(47.217477, -122.481201)",1
BITSEY,DOG,CHIHUAHUA SH,4,"(47.198395, -122.418331)",1
DAISY,DOG,PARSON RUSS TER,1,"(47.238409, -122.462439)",1
JUJU,DOG,PUG,2,"(47.289151, -122.524789)",1
LILLY,DOG,CHIHUAHUA SH,5,"(47.223407, -122.508364)",1
TINKERBELL,DOG,CHIHUAHUA SH,5,"(47.223407, -122.508364)",1
TUCKER,DOG,ALASKAN HUSKY,4,"(47.209641, -122.415847)",1
SASSY,DOG,CHIHUAHUA SH,2,"(47.256414, -122.483872)",1
CINAMON,DOG,AUST CATTLE DOG,4,"(47.200242, -122.437586)",1
MURPHY,DOG,NORFOLK TERRIER,4,"(47.213068, -122.417376)",1
LILI,DOG,VIZSLA,2,"(47.257609, -122.49466)",1
KONA,DOG,VIZSLA,2,"(47.257609, -122.49466)",1
BAILY,DOG,CHIHUAHUA SH,4,"(47.174571, -122.442364)",1
NUGGET,DOG,GOLDEN RETR,1,"(47.291677, -122.40402)",1
BOOTS,CAT,DOMESTIC LH,1,"(47.291677, -122.40402)",1
GRAY GHOST,CAT,DOMESTIC SH,2,"(47.27344, -122.509598)",1
BLIZZARD,CAT,MAINE COON,1,"(47.297278, -122.390062)",1
FRANKLIN,DOG,DACHSHUND LH,2,"(47.253727, -122.488765)",1
THELMA,DOG,DACHSHUND LH,2,"(47.253727, -122.488765)",1
TIGGER,CAT,DOMESTIC SH,1,"(47.251798, -122.452162)",1
BUDDY,DOG,DACHSHUND,1,"(47.259947, -122.442233)",1
HARLIE,DOG,PARSON RUSS TER,4,"(47.175992, -122.444988)",1
BRANIGAN,CAT,DOMESTIC SH,3,"(47.229919, -122.51849)",1
KAMMI,DOG,ST BERNARD RGH,1,"(47.281491, -122.376386)",1
BOO,CAT,DOMESTIC LH,5,"(47.240349, -122.507282)",1
SIOUX,DOG,PIT BULL,4,"(47.195162, -122.402702)",1
SUGAR,DOG,CHIHUAHUA SH,4,"(47.226728, -122.44662)",1
ASA,DOG,GERM SHEPHERD,2,"(47.255027, -122.467711)",1
HARLEY,DOG,PEKINGESE,3,"(47.227843, -122.451802)",1
TRUFFLES,DOG,PAPILLON,3,"(47.227843, -122.451802)",1
CEASAR,DOG,CHIHUAHUA SH,4,"(47.214401, -122.439491)",1
POCKET,DOG,MALTESE,2,"(47.294163, -122.505441)",1
BANDIT,CAT,DOMESTIC MH,2,"(47.268983, -122.462929)",1
BELLA,CAT,DOMESTIC SH,2,"(47.268983, -122.462929)",1
BRUTUS,DOG,MALTESE,2,"(47.250538, -122.504137)",1
BELLE STAR,DOG,CHIHUAHUA SH,3,"(47.222421, -122.503772)",1
ONXY,CAT,DOMESTIC SH,4,"(47.184306, -122.424352)",1
DILLON,DOG,GBGV,1,"(47.249133, -122.460906)",1
CHOPPER,DOG,AUST CATTLE DOG,4,"(47.223746, -122.416635)",1
GRAY,CAT,DOMESTIC SH,4,"(47.2242, -122.437103)",1
JO-JOE,DOG,CHIHUAHUA SH,1,"(47.283515, -122.394963)",1
SYDNEY,CAT,DOMESTIC SH,2,"(47.255632, -122.504736)",1
RAT 2,CAT,DOMESTIC SH,4,"(47.2174, -122.426045)",1
TUCKER,DOG,YORKSHIRE TERR,3,"(47.230745, -122.491284)",1
JACKIE,CAT,DOMESTIC SH,2,"(47.272529, -122.53335)",1
CHICO,DOG,CHIHUAHUA SH,4,"(47.215764, -122.440289)",1
TINO,DOG,RAT TERRIER,3,"(47.218829, -122.453496)",1
CHELSEA,DOG,POODLE MIN,2,"(47.280712, -122.480061)",1
TOBY,DOG,MALTESE,1,"(47.303362, -122.421441)",1
GOME,DOG,SHIH TZU,3,"(47.184531, -122.388862)",1
LOCKE,DOG,COCKER SPAN,2,"(47.254179, -122.495802)",1
HUBBLE,DOG,YORKSHIRE TERR,2,"(47.286871, -122.498273)",1
TOMMY,CAT,DOMESTIC SH,3,"(47.204861, -122.471368)",1
BAILEY JAMES,DOG,REDBONE HOUND,4,"(47.228549, -122.437284)",1
FRIEDA,CAT,DOMESTIC SH,2,"(47.275388, -122.485176)",1
ABBIE,DOG,POINTER,4,"(47.20205, -122.44492)",1
TACO BELLA,DOG,CHIHUAHUA SH,2,"(47.254667, -122.491074)",1
PEGGY SUE,DOG,BOXER,2,"(47.263177, -122.46542)",1
MERLIN,CAT,DOMESTIC SH,3,"(47.203858, -122.498669)",1
ROSITA,DOG,BASSET HOUND,2,"(47.264249, -122.473084)",1
BELLA,DOG,POODLE STND,2,"(47.259677, -122.474201)",1
PASHA,DOG,POODLE STND,2,"(47.259677, -122.474201)",1
NONA,CAT,DOMESTIC SH,2,"(47.263977, -122.53882)",1
SALLY,DOG,CAROLINA DOG,1,"(47.277977, -122.35662)",1
LULU,DOG,BRITTANY,3,"(47.225806, -122.451108)",1
NIGEL,DOG,NORWICH TERRIER,2,"(47.258076, -122.546661)",1
HERCULES,DOG,GREAT DANE,4,"(47.229484, -122.418755)",1
GRETA,DOG,WEIMARANER,3,"(47.22826, -122.451716)",1
DOMINOE,DOG,BOSTON TERRIER,1,"(47.306783, -122.418885)",1
SCOOTER,CAT,DOMESTIC SH,4,"(47.198668, -122.401991)",1
SPARTA,DOG,LABRADOR RETR,2,"(47.247678, -122.503812)",1
DAISEY,DOG,POODLE MIN,4,"(47.225497, -122.448779)",1
SPIKE,DOG,CHIHUAHUA SH,3,"(47.188496, -122.459333)",1
JUDI,DOG,CHIHUAHUA SH,4,"(47.174611, -122.435647)",1
STELLA,DOG,LABRADOR RETR,5,"(47.224338, -122.520272)",1
BEAR,DOG,AKITA,1,"(47.305969, -122.413995)",1
BLOOM,DOG,LABRADOR RETR,2,"(47.258335, -122.487943)",1
MOXIE,DOG,AUST SHEPHERD,2,"(47.263366, -122.495081)",1
NENA,DOG,PUG,3,"(47.194761, -122.468797)",1
DUNCAN,DOG,MIN PINSCHER,4,"(47.219151, -122.436421)",1
ROXY RED,DOG,LABRADOR RETR,3,"(47.215377, -122.48152)",1
JOLIE,DOG,AMER ESKIMO,1,"(47.305218, -122.414643)",1
VANILLA,CAT,DOMESTIC SH,4,"(47.201977, -122.41732)",1
DIOGEE,DOG,ALASKAN HUSKY,4,"(47.228702, -122.448961)",1
O J,CAT,DOMESTIC MH,4,"(47.170505, -122.43834)",1
TILLY,CAT,DOMESTIC SH,2,"(47.26926, -122.470029)",1
BROOK,DOG,BEAGLE,2,"(47.25422, -122.493921)",1
CALIE,CAT,DOMESTIC SH,4,"(47.176314, -122.430735)",1
ENOCH SNOW,DOG,POODLE MIN,1,"(47.258376, -122.457552)",1
BOO,CAT,AMER SH,4,"(47.200711, -122.432211)",1
AUGGIE,DOG,LABRADOR RETR,2,"(47.251635, -122.534816)",1
BELLA,DOG,LABRADOR RETR,2,"(47.251635, -122.534816)",1
KELLY,DOG,SHIH TZU,5,"(47.24039, -122.520258)",1
LUCKY BOY,DOG,ENG SPRNGR SPAN,2,"(47.257168, -122.534462)",1
JOEY,DOG,POODLE MIN,2,"(47.266683, -122.519517)",1
LOKI,DOG,LABRADOR RETR,2,"(47.268983, -122.462929)",1
GUSTAVO,CAT,DOMESTIC SH,2,"(47.260577, -122.470201)",1
LUCY,DOG,POMERANIAN,4,"(47.190677, -122.45112)",1
TOM TOM,CAT,AMER SH,1,"(47.255377, -122.45732)",1
TESS,DOG,AUST KELPIE,4,"(47.177625, -122.437738)",1
MAGGIE,DOG,GERM SHEPHERD,5,"(47.237593, -122.510346)",1
JONES,CAT,AMER SH,3,"(47.22027, -122.453526)",1
ERNIE,DOG,POODLE MIN,2,"(47.301515, -122.524826)",1
ISIS,CAT,DOMESTIC SH,2,"(47.266977, -122.465013)",1
WIZARD,DOG,GREYHOUND,5,"(47.223741, -122.515396)",1
MOJO,DOG,SCHNAUZER MIN,2,"(47.286457, -122.508873)",1
MAGGIE,DOG,PUG,2,"(47.286457, -122.508873)",1
BELLA,DOG,PEKINGESE,1,"(47.308545, -122.417476)",1
KODY,DOG,WELSH CORGI PEM,3,"(47.196626, -122.471381)",1
THEO,DOG,LABRADOR RETR,2,"(47.253977, -122.53172)",1
RUSTY JR,CAT,DOMESTIC SH,2,"(47.249438, -122.471063)",1
MADDY,DOG,POMERANIAN,3,"(47.224972, -122.493696)",1
HARLEY,DOG,MIN PINSCHER,3,"(47.224972, -122.493696)",1
LUCY,DOG,DACHSHUND,2,"(47.259648, -122.542936)",1
RICKY,DOG,DACHSHUND,2,"(47.259648, -122.542936)",1
ELI,CAT,DOMESTIC SH,1,"(47.307974, -122.428993)",1
BUTTONS,DOG,LABRADOR RETR,4,"(47.230185, -122.398564)",1
LUNA,DOG,LABRADOR RETR,2,"(47.249197, -122.497357)",1
FENWAY,DOG,WEST HIGHLAND,4,"(47.201176, -122.440905)",1
FINLEY,DOG,CAIRN TERRIER,4,"(47.201176, -122.440905)",1
PEANUT,DOG,YORKSHIRE TERR,1,"(47.291082, -122.399871)",1
PUP,DOG,ROTTWEILER,2,"(47.253777, -122.51132)",1
PEBBLES,CAT,DOMESTIC SH,2,"(47.259227, -122.477258)",1
GIBBS,DOG,DACHSHUND,4,"(47.170377, -122.42132)",1
ZOE,DOG,CHIHUAHUA SH,2,"(47.266242, -122.533535)",1
PIPER,CAT,DOMESTIC SH,4,"(47.214147, -122.447493)",1
MALCOLM,CAT,MAINE COON,5,"(47.236175, -122.51144)",1
ROSCOE,DOG,CHOW CHOW,5,"(47.237801, -122.51178)",1
ROXY,DOG,CHOW CHOW,5,"(47.237801, -122.51178)",1
CIELO,DOG,CHIHUAHUA SH,2,"(47.264262, -122.529049)",1
CHLOE,DOG,COCKER SPAN,1,"(47.290848, -122.381458)",1
SABRE,DOG,POMERANIAN,1,"(47.236174, -122.448549)",1
SEVERUS,CAT,DOMESTIC SH,2,"(47.296789, -122.521359)",1
MONKEY,CAT,DOMESTIC SH,2,"(47.296789, -122.521359)",1
HARAJUKU,CAT,DOMESTIC SH,2,"(47.296789, -122.521359)",1
COCO,DOG,CHIHUAHUA SH,1,"(47.236572, -122.453646)",1
DODGER,DOG,LHASA APSO,4,"(47.205545, -122.433021)",1
RYAN,CAT,DOMESTIC SH,4,"(47.214914, -122.440152)",1
LILY,DOG,ITAL GREYHOUND,2,"(47.267726, -122.508851)",1
PETER,DOG,SC WHEAT TERR,2,"(47.245331, -122.531927)",1
HARRIETT,DOG,BEAGLE,1,"(47.290122, -122.389155)",1
CABRON,DOG,GERM SHEPHERD,3,"(47.192205, -122.477703)",1
SOPHIE,DOG,CHIHUAHUA LH,2,"(47.282332, -122.508212)",1
SHASTA,DOG,BORDER COLLIE,4,"(47.225225, -122.436457)",1
BEASLEY,DOG,GERM SH POINT,4,"(47.218705, -122.417174)",1
MIDNIGHT,CAT,DOMESTIC SH,3,"(47.204509, -122.471367)",1
GREYCIE,CAT,DOMESTIC SH,2,"(47.268719, -122.510917)",1
ABBY,DOG,MALTESE,2,"(47.26517, -122.506969)",1
GRACIE,CAT,SIAMESE,2,"(47.281243, -122.487473)",1
GIOVANNI,DOG,GOLDEN RETR,2,"(47.269465, -122.455625)",1
REINA,DOG,GERM SHEPHERD,2,"(47.296943, -122.519262)",1
MOCHA,DOG,GREYHOUND,2,"(47.268177, -122.46192)",1
SAGE,DOG,BORDER COLLIE,2,"(47.257434, -122.461319)",1
JUMPER,DOG,LABRADOR RETR,4,"(47.207824, -122.414051)",1
SARA,DOG,GERM SHEPHERD,4,"(47.207824, -122.414051)",1
KAIRI,DOG,MIN PINSCHER,4,"(47.233816, -122.406009)",1
RATTY,DOG,CHIHUAHUA SH,4,"(47.233816, -122.406009)",1
ELTON,DOG,LABRADOR RETR,2,"(47.251988, -122.473869)",1
LUCY,DOG,JINDO,3,"(47.192289, -122.465969)",1
TATER,DOG,WELSH CORGI PEM,2,"(47.270383, -122.475772)",1
ANGEL,DOG,CHIHUAHUA SH,3,"(47.205798, -122.453146)",1
GOLDIE,CAT,DOMESTIC SH,1,"(47.299832, -122.417615)",1
BRUTUS,DOG,CHIHUAHUA SH,5,"(47.220999, -122.519931)",1
SADIE,DOG,BORDER COLLIE,4,"(47.205277, -122.43622)",1
COSMO,DOG,SHETLD SHEEPDOG,2,"(47.26272, -122.474349)",1
SUZIE,CAT,DOMESTIC SH,2,"(47.268564, -122.486678)",1
JAY DEE,DOG,CAVALIER SPAN,2,"(47.265414, -122.453438)",1
TILLIE,DOG,CAIRN TERRIER,4,"(47.170502, -122.424633)",1
PATCHES,CAT,DOMESTIC SH,3,"(47.193981, -122.495737)",1
MAGGIE,CAT,RUSSIAN BLUE,2,"(47.28685, -122.503434)",1
RILEY,CAT,RUSSIAN BLUE,2,"(47.28685, -122.503434)",1
SOPHIE,DOG,COCKER SPAN,2,"(47.254865, -122.543553)",1
GOBLIN,CAT,DOMESTIC SH,5,"(47.2337, -122.50741)",1
PEGGOLTY,DOG,OLDENG SHEEPDOG,2,"(47.249065, -122.545725)",1
RAFE,DOG,POODLE STND,2,"(47.255047, -122.492701)",1
BOOM BOOM,CAT,DOMESTIC MH,1,"(47.254774, -122.442201)",1
DEOGE,DOG,AUST CATTLE DOG,4,"(47.218777, -122.42542)",1
GRACIE,DOG,VIZSLA,1,"(47.283842, -122.392096)",1
WOODY,CAT,DOMESTIC SH,3,"(47.215774, -122.45592)",1
CHARLIE,DOG,HAVANESE,2,"(47.271872, -122.533521)",1
RUDY,DOG,BOSTON TERRIER,2,"(47.282607, -122.508775)",1
BOY CAT,CAT,DOMESTIC SH,2,"(47.257769, -122.497433)",1
KATIE,DOG,BLACK/TAN HOUND,2,"(47.274041, -122.481587)",1
SILVER,DOG,POODLE MIN,2,"(47.253666, -122.504671)",1
SCOUT,DOG,STAFFORDSHIRE,2,"(47.257057, -122.469797)",1
OTIS,CAT,DOMESTIC MH,3,"(47.201997, -122.469986)",1
COOPER,DOG,GERM SH POINT,3,"(47.224972, -122.493696)",1
DAKOTA,DOG,GERM SHEPHERD,4,"(47.227175, -122.43754)",1
SPLINTER,CAT,DOMESTIC SH,4,"(47.190663, -122.441542)",1
SCOTCHY,CAT,DOMESTIC SH,3,"(47.192666, -122.471489)",1
PATCHES,CAT,DOMESTIC SH,3,"(47.192666, -122.471489)",1
GAIA,DOG,AM PIT BULL TER,1,"(47.240393, -122.459437)",1
STARFLOWER,CAT,DOMESTIC MH,1,"(47.233662, -122.440206)",1
MURPHY,CAT,DOMESTIC SH,2,"(47.271354, -122.481697)",1
LOUISE,CAT,ABYSSINIAN,2,"(47.280677, -122.483015)",1
STITCH,DOG,FRENCH BULLDOG,4,"(47.188549, -122.438922)",1
BAILEE,DOG,GOLDEN RETR,2,"(47.281736, -122.524029)",1
ANGUS,DOG,LABRADOR RETR,2,"(47.260672, -122.467758)",1
PEACHES,CAT,DOMESTIC SH,4,"(47.195831, -122.403041)",1
HILDY,DOG,PUG,1,"(47.305494, -122.42338)",1
MR.WHICHER,CAT,DOMESTIC SH,4,"(47.203419, -122.448095)",1
OTIS,CAT,DOMESTIC SH,2,"(47.271471, -122.530036)",1
Z Z,CAT,DOMESTIC SH,4,"(47.214147, -122.447493)",1
JAX,DOG,LABRADOR RETR,2,"(47.256151, -122.542348)",1
SKIPKEY,DOG,SCHIPPERKE,2,"(47.28106, -122.495033)",1
SPOTTY,DOG,BEAGLE,4,"(47.215391, -122.444336)",1
TIGGER,CAT,DOMESTIC SH,2,"(47.270445, -122.469984)",1
TINO,CAT,DOMESTIC SH,2,"(47.270445, -122.469984)",1
LUCKY,DOG,LABRADOR RETR,5,"(47.22261, -122.51381)",1
FUJI,CAT,DOMESTIC MH,2,"(47.247142, -122.547353)",1
MEW,CAT,DOMESTIC SH,4,"(47.226777, -122.43642)",1
APOLLO,CAT,DOMESTIC SH,3,"(47.203356, -122.471925)",1
ASHLEY,DOG,YORKSHIRE TERR,2,"(47.245891, -122.491259)",1
CARMINE,CAT,DOMESTIC SH,2,"(47.265456, -122.446602)",1
KATIE,DOG,CHIHUAHUA LH,2,"(47.277137, -122.506906)",1
RIGGINS,DOG,LABRADOR RETR,5,"(47.223711, -122.519819)",1
NO NAME,CAT,DOMESTIC SH,2,"(47.255897, -122.478126)",1
ZOE,CAT,DOMESTICMEDHAIR,2,"(47.271336, -122.493822)",1
CODY,DOG,POMERANIAN,2,"(47.250494, -122.538323)",1
ABBY,DOG,LABRADOR RETR,3,"(47.211443, -122.472749)",1
SPARKY,DOG,CHIHUAHUA LH,4,"(47.204751, -122.433492)",1
TUCKER,DOG,CATAHOULA,2,"(47.282332, -122.508212)",1
NUTMEG,CAT,DOMESTIC MH,3,"(47.189162, -122.456907)",1
EVA,DOG,PUG,2,"(32.871671, -104.429863)",1
CHESTER,DOG,PIT BULL,1,"(47.278798, -122.358495)",1
KITTY,CAT,DOMESTIC SH,2,"(47.257769, -122.497433)",1
JACK,DOG,BULLDOG,5,"(47.2237, -122.512586)",1
EMI,DOG,LABRADOR RETR,2,"(47.252968, -122.485399)",1
LUNA,DOG,PORT WATER DOG,2,"(47.276373, -122.474963)",1
MERLIN,CAT,DOMESTIC SH,2,"(47.265318, -122.506194)",1
CASSIE,CAT,DOMESTIC SH,3,"(47.19179, -122.498266)",1
DUKE,DOG,CHIHUAHUA SH,2,"(47.273271, -122.511398)",1
LOLA,CAT,DOMESTIC MH,4,"(47.206132, -122.439554)",1
LIONESS,CAT,DOMESTIC MH,4,"(47.206132, -122.439554)",1
WILMA,DOG,LABRADOR RETR,3,"(47.201762, -122.481502)",1
TIA,DOG,CHIHUAHUA SH,2,"(47.254263, -122.539463)",1
JUANA,DOG,CHIHUAHUA SH,2,"(47.254263, -122.539463)",1
ECHO,DOG,SIBERIAN HUSKY,2,"(47.288563, -122.50077)",1
PUNKIN,CAT,DOMESTIC SH,4,"(47.195072, -122.435843)",1
MYSTIQUE,DOG,CHIHUAHUA SH,2,"(47.284068, -122.518555)",1
SCOOTER,DOG,SCHNAUZER MIN,1,"(47.31047, -122.430641)",1
DAISY,DOG,GOLDEN RETR,2,"(47.272559, -122.480233)",1
BOGIE,DOG,LABRADOR RETR,4,"(47.21383, -122.42128)",1
